,ingre_count,is_described,duration,venue_0,venue_1,venue_2,venue_3,container_0,container_1,container_2,container_3,container_4,container_5,container_6,container_7,container_8,container_9
295,5,0,62,0,1,0,0,0,0,1,0,0,0,0,0,0,0
296,4,1,86,0,0,0,1,0,0,1,0,0,0,0,0,0,0
297,5,0,49,0,0,0,1,0,0,0,0,0,0,1,0,0,0
298,3,1,306,0,0,0,1,0,0,0,0,0,0,0,0,1,0
299,3,0,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0
300,0,1,48,0,1,0,0,0,0,0,0,1,0,0,0,0,0
301,0,0,48,0,1,0,0,0,0,0,0,0,0,0,1,0,0
302,2,0,52,0,1,0,0,0,0,1,0,0,0,0,0,0,0
303,0,0,162,0,1,0,0,0,0,1,0,0,0,0,0,0,0
304,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
305,0,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
306,1,0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0
307,14,0,427,0,1,0,0,0,0,1,0,0,0,0,0,0,0
308,6,0,256,0,1,0,0,1,0,0,0,0,0,0,0,0,0
309,4,1,252,1,0,0,0,0,0,1,0,0,0,0,0,0,0
310,2,0,308,1,0,0,0,1,0,0,0,0,0,0,0,0,0
311,7,0,494,1,0,0,0,0,0,0,0,0,0,0,0,1,0
312,9,1,86,1,0,0,0,1,0,0,0,0,0,0,0,0,0
313,6,1,81,1,0,0,0,0,0,0,0,0,0,0,1,0,0
314,6,1,116,1,0,0,0,0,1,0,0,0,0,0,0,0,0
315,9,1,76,1,0,0,0,1,0,0,0,0,0,0,0,0,0
316,1,0,45,1,0,0,0,0,0,1,0,0,0,0,0,0,0
317,5,0,57,1,0,0,0,0,0,1,0,0,0,0,0,0,0
318,0,0,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0
319,1,0,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0
320,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0
321,0,0,32,1,0,0,0,0,0,1,0,0,0,0,0,0,0
322,5,1,97,1,0,0,0,0,0,1,0,0,0,0,0,0,0
323,3,0,51,0,0,0,1,0,0,1,0,0,0,0,0,0,0
324,4,1,133,0,0,0,1,0,0,0,0,0,0,0,0,1,0
325,0,0,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0
326,0,0,34,0,0,0,1,0,0,1,0,0,0,0,0,0,0
327,0,0,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0
328,6,1,23,0,0,0,1,1,0,0,0,0,0,0,0,0,0
329,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0
330,2,0,36,0,0,0,1,0,0,1,0,0,0,0,0,0,0
331,3,0,39,0,0,0,1,0,0,1,0,0,0,0,0,0,0
332,6,0,96,1,0,0,0,0,0,0,0,0,0,0,1,0,0
333,7,0,116,1,0,0,0,0,0,1,0,0,0,0,0,0,0
334,1,0,191,1,0,0,0,0,0,1,0,0,0,0,0,0,0
335,9,0,283,0,1,0,0,1,0,0,0,0,0,0,0,0,0
336,0,0,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0
337,3,0,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0
338,2,0,26,0,1,0,0,1,0,0,0,0,0,0,0,0,0
339,2,0,65,1,0,0,0,1,0,0,0,0,0,0,0,0,0
340,1,0,51,0,1,0,0,0,0,1,0,0,0,0,0,0,0
341,1,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
342,0,0,62,1,0,0,0,1,0,0,0,0,0,0,0,0,0
343,2,1,48,0,1,0,0,0,0,0,0,1,0,0,0,0,0
344,0,0,42,0,1,0,0,0,0,0,0,1,0,0,0,0,0
345,0,0,420,1,0,0,0,0,0,0,0,0,0,0,1,0,0
346,2,0,16,0,1,0,0,0,0,0,0,1,0,0,0,0,0
347,2,0,98,1,0,0,0,0,0,1,0,0,0,0,0,0,0
348,0,0,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0
349,2,0,105,1,0,0,0,0,0,0,0,0,0,0,1,0,0
350,2,0,46,0,1,0,0,0,0,1,0,0,0,0,0,0,0
351,3,0,33,0,1,0,0,1,0,0,0,0,0,0,0,0,0
352,1,0,22,0,1,0,0,0,0,1,0,0,0,0,0,0,0
